1	1	no rank	8
2387	28384	no rank	8
2389	2387	species	8
2391	2387	species	8
2394	2387	species	8
2395	2387	species	8
2397	2387	species	8
2398	2387	species	8
2401	2387	species	8
2405	2387	species	8
2407	2387	species	8
2411	2387	species	8
2413	2387	species	8
2671	28384	no rank	8
7742	89593	no rank	10
7745	117569	order	10
7746	7745	family	10
7748	13103	species	10
7750	13103	species	10
7752	13103	species	10
7753	94988	species	10
7754	7746	genus	10
7755	7754	species	10
7756	7746	genus	10
7757	7756	species	10
7758	7746	species	10
7761	117565	order	10
7762	7761	family	10
7763	30309	genus	10
7764	7763	species	10
7765	7763	species	10
7767	7763	species	10
7769	110555	species	10
7772	7746	genus	10
7776	7742	no rank	10
7777	7776	class	10
7778	7777	subclass	10
7780	30475	genus	10
7781	7780	species	10
7782	117861	species	10
7784	40665	genus	10
7786	30480	genus	10
7787	1804737	species	10
7788	7786	species	10
7790	40667	family	10
7791	7790	genus	10
7792	7791	species	10
7793	7791	species	10
7796	30511	genus	10
7797	7796	species	10
7798	7796	species	10
7800	30507	genus	10
7801	7800	species	10
7802	30496	family	10
7805	30483	family	10
7806	7805	genus	10
7807	7806	species	10
7808	7806	species	10
7810	7806	species	10
7811	7839	genus	10
7812	7811	species	10
7813	7811	species	10
7814	7805	genus	10
7815	7814	species	10
7816	7805	genus	10
7818	7805	genus	10
7819	7818	species	10
7820	7805	genus	10
7821	7820	species	10
7822	7805	genus	10
7823	7822	species	10
7824	7822	species	10
7825	7824	subspecies	10
7826	30483	family	10
7827	7826	genus	10
7829	7826	genus	10
7830	7829	species	10
7832	118015	family	10
7833	7832	genus	10
7834	7833	species	10
7839	30483	family	10
7840	7839	genus	10
7844	7850	subfamily	10
7845	7844	genus	10
7847	7845	species	10
7848	7844	genus	10
7849	7848	species	10
7850	30496	family	10
7851	119194	genus	10
7852	7851	species	10
7855	30495	family	10
7856	7855	genus	10
7857	7856	species	10
7858	117893	order	10
7860	117887	family	10
7861	548256	genus	10
7862	7861	species	10
7863	7777	subclass	10
7864	7863	order	10
7865	7864	family	10
7866	7865	genus	10
7867	7866	species	10
7868	7866	species	10
7869	7864	family	10
7870	7869	genus	10
7871	7870	species	10
7872	7869	genus	10
7873	7872	species	10
7874	7839	genus	10
7878	1338369	no rank	10
7879	118077	order	10
7880	7879	family	10
7881	7880	genus	10
7883	7881	species	10
7884	7879	family	10
7885	7884	genus	10
7886	7885	species	10
7887	7885	species	10
7888	7885	species	10
7889	118078	family	10
7890	7889	genus	10
7892	7890	species	10
7894	118072	order	10
7895	7894	family	10
7896	7895	genus	10
7897	7896	species	10
7898	117571	superclass	10
7899	32440	order	10
7900	186622	family	10
7901	124130	genus	10
7902	7901	species	10
7903	7901	species	10
7904	7901	species	10
7906	7901	species	10
7907	7901	species	10
7908	7901	species	10
7909	124131	genus	10
7910	7909	species	10
7911	186622	family	10
7912	186621	genus	10
7913	7912	species	10
7914	1489100	order	10
7915	7914	family	10
7916	7915	genus	10
7917	512340	species	10
7918	7916	species	10
7921	1489100	order	10
7922	7921	family	10
7923	7922	genus	10
7924	7923	species	10
7925	32521	order	10
7926	7925	family	10
7927	7926	genus	10
7928	7927	species	10
7930	7925	family	10
7931	7930	genus	10
7932	7931	species	10
7933	32521	order	10
7934	7933	family	10
7935	7934	genus	10
7936	7935	species	10
7937	7935	species	10
7938	7935	species	10
7939	7935	species	10
7940	7935	species	10
7941	7933	family	10
7942	135217	genus	10
7943	7942	species	10
